Timestamp,Source IP,Destination Port,Protocol,Bytes Transferred,IOT Devices,Response Time,Status
2024-03-03 11:59:29,156.100.107.101,48620,TCP,37566,alexa,230,success
2024-07-03 06:41:02,159.87.225.180,61387,TCP,46774,smart vaccums,360,timeout
2024-03-29 00:58:03,226.241.90.149,52371,ICMP,83586,alexa,272,timeout
2024-08-09 13:40:26,117.74.240.152,20970,TCP,39484,alexa,37,failure
2024-08-08 19:48:45,232.231.107.66,18877,TCP,60041,alexa,203,success
2024-04-10 07:53:51,10.6.89.232,32666,TCP,32898,smart bulb system,177,failure
2024-05-05 00:11:00,75.143.32.247,13906,UDP,51516,alexa,363,success
2024-03-07 02:25:08,83.116.145.31,28291,ICMP,75154,smart bulb system,427,timeout
2024-04-30 18:22:40,189.178.224.50,57736,ICMP,8330,smart bulb system,499,timeout
2024-02-23 11:43:18,1.117.52.150,60032,TCP,31459,smart camera system,49,failure
2024-06-26 06:25:28,246.30.1.69,5407,TCP,49981,smart bulb system,146,success
2024-05-11 16:28:08,55.50.115.1,7034,TCP,40498,alexa,390,failure
2024-04-07 23:54:40,35.10.161.124,63181,ICMP,61740,smart vaccums,176,timeout
2024-06-14 10:12:31,49.34.81.1,34225,ICMP,15602,smart camera system,482,success
2024-05-12 22:46:55,185.227.30.122,30792,UDP,78274,smart vaccums,349,timeout
2024-07-16 19:18:25,250.200.61.205,5139,ICMP,17537,smart camera system,295,timeout
2024-04-09 09:23:11,43.237.70.44,60725,UDP,5125,smart camera system,38,failure
2024-04-30 01:16:20,90.204.243.202,47074,ICMP,90990,smart vaccums,298,failure
2024-02-24 14:03:22,133.238.156.34,54912,ICMP,41926,smart bulb system,459,failure
2024-03-20 08:59:39,88.14.73.39,53017,ICMP,99049,smart vaccums,387,success
2024-06-06 09:58:07,191.180.137.226,7617,UDP,24559,smart camera system,28,timeout
2024-04-21 01:22:08,171.166.20.239,59917,UDP,88972,smart bulb system,136,timeout
2024-07-11 20:51:32,181.202.45.158,13189,ICMP,49753,smart bulb system,275,timeout
2024-06-15 05:38:52,184.25.158.93,63353,ICMP,89459,alexa,294,timeout
2024-08-16 08:04:00,10.148.206.179,33218,TCP,10497,smart vaccums,335,success
2024-07-12 16:06:17,145.245.251.166,17031,ICMP,35226,smart vaccums,256,timeout
2024-07-19 12:51:47,152.11.60.240,21599,TCP,97939,alexa,337,success
2024-01-26 07:44:13,246.74.219.250,32003,UDP,45391,alexa,137,failure
2024-03-13 03:15:15,26.203.236.75,12539,UDP,92079,alexa,46,timeout
2024-01-05 18:58:29,61.43.168.180,26758,TCP,55544,smart camera system,387,timeout
2024-04-25 10:23:21,226.236.115.220,48652,TCP,38125,smart bulb system,171,timeout
2024-08-18 18:28:59,15.108.251.35,60919,ICMP,70839,smart bulb system,7,failure
2024-03-04 09:14:58,98.29.68.148,18753,TCP,42597,smart vaccums,231,success
2024-07-29 21:21:33,180.132.239.232,33974,ICMP,2877,smart camera system,253,failure
2024-07-05 21:06:09,147.187.40.224,25194,ICMP,54574,alexa,368,success
2024-05-24 16:15:45,213.250.252.174,42228,TCP,59821,alexa,431,timeout
2024-01-14 04:14:48,144.78.218.203,17641,TCP,5123,smart bulb system,264,success
2024-07-02 19:23:28,209.225.117.191,37873,ICMP,64618,smart camera system,343,failure
2024-02-20 10:37:23,68.127.121.174,27694,TCP,22423,alexa,489,timeout
2024-04-30 04:56:06,11.64.33.29,63949,ICMP,54667,smart vaccums,357,failure
2024-01-25 11:52:27,145.215.183.44,14179,ICMP,37673,smart bulb system,8,failure
2024-05-20 11:05:54,194.229.169.49,45996,UDP,35498,smart vaccums,262,timeout
2024-03-11 16:08:51,130.133.221.166,51270,ICMP,69258,smart bulb system,196,success
2024-01-02 22:09:19,210.207.145.241,3798,TCP,36996,alexa,117,success
2024-03-20 20:27:26,160.160.44.50,4227,ICMP,35823,smart vaccums,436,failure
2024-04-16 13:14:13,179.43.142.183,29188,ICMP,62099,smart vaccums,482,timeout
2024-03-04 06:50:23,37.240.177.9,54420,UDP,91571,smart bulb system,207,failure
2024-07-02 17:14:27,38.221.152.149,31095,ICMP,16917,alexa,196,failure
2024-03-18 23:16:38,207.46.154.168,36956,ICMP,22858,smart vaccums,383,timeout
2024-05-17 11:27:28,176.243.7.84,60768,ICMP,27146,smart bulb system,89,success
2024-02-26 19:19:44,226.1.241.217,12091,UDP,63358,smart bulb system,293,failure
2024-06-21 23:09:16,210.3.77.126,59136,UDP,93706,smart camera system,153,timeout
2024-05-21 07:41:49,66.5.231.89,19410,UDP,70548,smart bulb system,54,failure
2024-06-26 12:50:52,37.221.84.134,10394,TCP,49128,alexa,73,failure
